Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Paneer makhana korma,180,775.82,3.24,4.63,82.76
Generic/Average Restaurant,Kadhai Paneer,180,107.99,4.33,7.34,6.81
Generic/Average Restaurant,Roghan josh,120,139.59,9.56,4.93,9.02
Generic/Average Restaurant,Spinach mutton (Palak mutton),300,80.32,5.74,3.45,4.71
Generic/Average Restaurant,Pea keema curry (Matar keema ki sabzi),300,133.0,8.43,6.24,8.14
Generic/Average Restaurant,Keema kofta curry,300,154.45,9.77,5.64,10.39
Generic/Average Restaurant,Kashmiri mutton koftas (Gushtaba),300,97.42,6.33,3.04,6.77
Generic/Average Restaurant,Mutton yakhni,300,104.13,8.27,0.84,7.7
Generic/Average Restaurant,Chicken yakhni,300,99.0,10.66,0.78,6.1
Generic/Average Restaurant,Mutton do piaza,300,183.3,9.39,4.14,14.41
Generic/Average Restaurant,Mutton chops,300,663.64,4.03,1.48,71.31
Generic/Average Restaurant,Shammi kebab,300,685.69,4.52,3.54,72.61
Generic/Average Restaurant,Scotch egg,300,676.89,4.05,1.91,72.62
Generic/Average Restaurant,Shepherd's pie (with minced meat),120,142.78,7.45,8.06,8.88
Generic/Average Restaurant,Chicken curry,300,129.22,11.79,3.38,7.57
Generic/Average Restaurant,Tandoori chicken,300,145.2,16.26,2.34,7.93
Generic/Average Restaurant,Butter chicken,300,137.0,10.92,3.74,8.7
Generic/Average Restaurant,Chicken kebab,300,729.41,3.71,1.11,78.89
Generic/Average Restaurant,Chilli chicken,300,198.83,9.57,2.86,16.56
Generic/Average Restaurant,Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),40,125.03,11.48,2.51,7.61
Generic/Average Restaurant,Fish curry (Machli curry),300,111.13,8.76,3.77,6.69
Generic/Average Restaurant,Fried fish (Indian style) (Tali hui machli),300,658.54,4.35,5.4,68.88
Generic/Average Restaurant,Fried fish and Chips (English Style) (Tali hui machli aur chips),300,651.75,3.36,2.77,69.69
Generic/Average Restaurant,Tomato fish,300,489.79,2.39,3.18,51.91
Generic/Average Restaurant,Baked fish with cheese sauce,40,113.96,8.64,4.06,7.02
Generic/Average Restaurant,Fish tikka,300,117.33,16.0,3.91,4.15
Generic/Average Restaurant,Tandoori fish,300,95.98,11.19,2.37,4.64
Generic/Average Restaurant,"Paneer, apple and pineapple salad",40,95.08,3.88,8.35,5.07
Generic/Average Restaurant,Russian salad,40,114.83,4.26,6.5,7.84
Generic/Average Restaurant,Pasta salad,40,190.36,4.15,12.7,13.92
Generic/Average Restaurant,Deviled egg,300,98.56,4.97,2.23,7.72
Generic/Average Restaurant,Hawain salad,40,175.23,4.27,14.35,11.37
Generic/Average Restaurant,Mixed pulse and vegetable salad,40,83.12,4.74,13.96,0.84
Generic/Average Restaurant,Sprouted moong salad ,40,37.81,2.29,5.48,0.74
Generic/Average Restaurant,Tossed salad,40,62.96,1.02,4.95,4.22
Generic/Average Restaurant,Mixed vegetable salad with curd sauce,40,60.28,4.23,7.03,1.5
Generic/Average Restaurant,Potato salad (Aloo ka salaad),40,89.91,1.4,11.19,4.4
Generic/Average Restaurant,Waldroff salad,40,141.75,1.47,11.02,10.05
Generic/Average Restaurant,Coleslaw,120,76.71,1.24,5.59,5.32
Generic/Average Restaurant,Fruit salad (Phalon ka salaad),40,78.14,0.91,15.96,1.22
Generic/Average Restaurant,Tomato onion raita (Tamatar aur pyaaz ka raita),40,59.0,3.74,7.08,1.84
Generic/Average Restaurant,Peanut raita (Mungfali ka raita),40,150.39,8.59,9.3,8.98
Generic/Average Restaurant,Sprouted moong raita ,40,60.89,4.62,6.13,2.19
